Профессиональные качества,Советуется с Вами,"Наличие четких целей, KPI",Делегирует полномочия,Дает обратную связь,Критикует в присутствии других,Благодарит за достижения,Знает о карьерных планах,Саморазвитие руководителя,Проявляет заботу о Вашем развитии,Повышает на Вас голос,Готов рекомендовать
"Он, безусловно, является экспертом в моей профессиональной сфере","Да, практически по всем моим профессиональным вопросам",Нет,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",да,Да
Он практически не обладает профессиональными знаниями и навыками в сфере моих профессиональных обязанностей,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",да,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
Он имеет высокую профессиональную подготовку,Лишь изредка,только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",нет,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,Иногда получаю благодарности,"Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Нет
"Он, безусловно, является экспертом в моей профессиональной сфере","Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Нет,Иногда получаю благодарности,"Нет, не в курсе",не знаю,"Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Нет
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",Да,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Да,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Да, (сам предлагал курсы повышения квалификации, тренинги  и т.п..)",да,Да
Он имеет низкую профессиональную подготовку,Лишь изредка,Да,У меня есть промежуточные ступени контроля,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",да,Да
Он имеет высокую профессиональную подготовку,"Да, практически по всем моим профессиональным вопросам",только по некоторой части функционала есть цели,Я имею полную свободу в выборе средств при выполнении заданий,Нет,Нет,Иногда получаю благодарности,"Нет, не в курсе","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Нет
"Он, безусловно, является экспертом в моей профессиональной сфере","Да, практически по всем моим профессиональным вопросам",Да,Я имею полную свободу в выборе средств при выполнении заданий,"Да, мы проводим «разбор полетов», где обсуждаем, как можно было бы выполнить работу лучше",Нет,"Да, практически все достижения бывают отмечены моим руководителем;","Да, мы обсуждаем это","Да (посещает тренинги, читает литературу и т.п..)","Сам нет, но готов поддержать меня в моем стремлении развиваться",нет,Да
